epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,150.266,0.9706,0.66046,0.99827,1.03064,0.39492,0.43597,0.33841,0.16326,0.39492,0.43597,0.32732,0.19076,2.28928,7.6267,2.95724,1.82636,0.00750648,0.000506478,0.000506478
48,152.881,1.04896,0.84111,0.93959,1.04296,0.29843,0.44444,0.24925,0.1133,0.30781,0.44444,0.21752,0.12295,2.32886,5.61991,2.98048,1.82991,0.00550797,0.000507965,0.000507965
49,155.486,1.07038,0.93179,0.82799,1.00668,0.29843,0.44444,0.24925,0.1133,0.30781,0.44444,0.21752,0.12295,2.32886,5.61991,2.98048,1.82991,0.00350906,0.000509056,0.000509056
50,158.296,1.09054,1.06819,0.93272,1.02017,0.23203,0.47107,0.22592,0.09619,0.24536,0.44444,0.20369,0.11491,2.25069,4.83555,2.68134,1.84776,0.00150975,0.000509751,0.000509751
51,161.235,0.9613,0.6737,0.7788,0.94764,0.23203,0.47107,0.22592,0.09619,0.24536,0.44444,0.20369,0.11491,2.25069,4.83555,2.68134,1.84776,0.000505,0.000505,0.000505
52,164.249,1.04741,0.83504,0.90604,1.01598,0.25857,0.55556,0.23503,0.08188,0.25857,0.55556,0.23503,0.09331,2.16152,4.59638,2.35999,1.87938,0.0004951,0.0004951,0.0004951
53,167.453,1.10611,0.82963,0.86811,1.09902,0.25857,0.55556,0.23503,0.08188,0.25857,0.55556,0.23503,0.09331,2.16152,4.59638,2.35999,1.87938,0.0004852,0.0004852,0.0004852
54,169.79,0.99461,0.8104,0.82723,1.08281,0.4924,0.55556,0.40368,0.17421,0.51599,0.44444,0.33465,0.17105,1.99383,4.47789,2.39399,1.86343,0.0004753,0.0004753,0.0004753
55,173.284,1.0643,1.02661,0.80663,0.93369,0.4924,0.55556,0.40368,0.17421,0.51599,0.44444,0.33465,0.17105,1.99383,4.47789,2.39399,1.86343,0.0004654,0.0004654,0.0004654
56,175.864,1.03336,0.87735,0.88794,1.04061,0.5202,0.55556,0.39579,0.17971,0.55897,0.44444,0.3377,0.18734,1.79293,4.40498,2.43248,1.80211,0.0004555,0.0004555,0.0004555
57,178.222,1.06824,0.80115,0.8671,1.07945,0.5202,0.55556,0.39579,0.17971,0.55897,0.44444,0.3377,0.18734,1.79293,4.40498,2.43248,1.80211,0.0004456,0.0004456,0.0004456
58,181.294,1.01621,0.64575,0.81733,1.03744,0.45526,0.44444,0.30483,0.14832,0.45526,0.44444,0.2612,0.15065,1.62556,4.0814,2.45985,1.7702,0.0004357,0.0004357,0.0004357
59,184.105,0.96054,0.8381,0.81297,1.06326,0.45526,0.44444,0.30483,0.14832,0.45526,0.44444,0.2612,0.15065,1.62556,4.0814,2.45985,1.7702,0.0004258,0.0004258,0.0004258
60,186.622,1.01887,0.80293,0.78106,1.09745,0.49814,0.33333,0.37502,0.21319,0.49814,0.33333,0.34507,0.19079,1.64314,3.7302,2.53976,1.75797,0.0004159,0.0004159,0.0004159
61,189.707,0.95021,1.15915,0.88602,1.04569,0.49814,0.33333,0.37502,0.21319,0.49814,0.33333,0.34507,0.19079,1.64314,3.7302,2.53976,1.75797,0.000406,0.000406,0.000406
62,192.176,1.09274,0.91443,0.84263,1.0906,0.53547,0.33333,0.3439,0.1951,0.53547,0.33333,0.29839,0.16427,1.7063,3.73831,2.54258,1.80798,0.0003961,0.0003961,0.0003961
63,195.198,1.07452,0.74125,0.82698,1.00647,0.53547,0.33333,0.3439,0.1951,0.53547,0.33333,0.29839,0.16427,1.7063,3.73831,2.54258,1.80798,0.0003862,0.0003862,0.0003862
64,197.901,1.05805,0.61648,0.81511,1.03137,0.58856,0.33333,0.38543,0.23533,0.58856,0.33333,0.33993,0.19451,1.65145,3.81367,2.61078,1.79491,0.0003763,0.0003763,0.0003763
65,200.689,0.92921,0.66134,0.71284,1.00717,0.58856,0.33333,0.38543,0.23533,0.58856,0.33333,0.33993,0.19451,1.65145,3.81367,2.61078,1.79491,0.0003664,0.0003664,0.0003664
66,204.44,0.99084,0.94662,0.81772,1.02234,0.57702,0.33333,0.31817,0.19202,0.57702,0.33333,0.31155,0.17483,1.61013,4.07672,2.7963,1.76551,0.0003565,0.0003565,0.0003565
67,207.112,1.0266,0.67091,0.78641,1.03685,0.57702,0.33333,0.31817,0.19202,0.57702,0.33333,0.31155,0.17483,1.61013,4.07672,2.7963,1.76551,0.0003466,0.0003466,0.0003466
68,210.174,1.10165,0.90546,0.86058,1.14858,0.41617,0.44444,0.3285,0.18793,0.44888,0.44444,0.32047,0.1817,1.64195,4.21859,2.92793,1.73299,0.0003367,0.0003367,0.0003367
69,213.071,1.02399,0.84819,0.77374,1.00865,0.41617,0.44444,0.3285,0.18793,0.44888,0.44444,0.32047,0.1817,1.64195,4.21859,2.92793,1.73299,0.0003268,0.0003268,0.0003268
70,216.582,0.87574,0.66578,0.70358,0.97796,0.42414,0.49361,0.38165,0.19511,0.3966,0.44444,0.33053,0.21133,1.72364,4.44354,2.87455,1.71019,0.0003169,0.0003169,0.0003169
71,219.041,0.8844,0.75957,0.7732,1.01477,0.42414,0.49361,0.38165,0.19511,0.3966,0.44444,0.33053,0.21133,1.72364,4.44354,2.87455,1.71019,0.000307,0.000307,0.000307
72,222.231,0.85485,0.77943,0.75896,0.94736,0.65626,0.4271,0.40794,0.22553,0.65626,0.4271,0.36821,0.23481,1.72386,4.43126,2.8567,1.71052,0.0002971,0.0002971,0.0002971
73,224.794,0.99848,0.75987,0.8709,1.018,0.65626,0.4271,0.40794,0.22553,0.65626,0.4271,0.36821,0.23481,1.72386,4.43126,2.8567,1.71052,0.0002872,0.0002872,0.0002872
74,227.487,0.96347,0.87222,0.73547,0.98838,0.55279,0.44444,0.39369,0.22681,0.55279,0.44444,0.39369,0.20647,1.78049,4.46248,2.86037,1.73959,0.0002773,0.0002773,0.0002773
75,230.482,1.01158,0.57162,0.79639,1.10475,0.55279,0.44444,0.39369,0.22681,0.55279,0.44444,0.39369,0.20647,1.78049,4.46248,2.86037,1.73959,0.0002674,0.0002674,0.0002674
76,233.296,0.97956,0.58046,0.74292,1.06025,0.57033,0.44273,0.38654,0.22303,0.57033,0.44273,0.39521,0.21548,1.87095,4.37983,2.92351,1.76783,0.0002575,0.0002575,0.0002575
77,235.975,0.93667,0.89447,0.84411,1.0567,0.57033,0.44273,0.38654,0.22303,0.57033,0.44273,0.39521,0.21548,1.87095,4.37983,2.92351,1.76783,0.0002476,0.0002476,0.0002476
78,239.01,0.88422,0.77149,0.74166,1.01197,0.54925,0.44444,0.40165,0.21341,0.54925,0.44444,0.40496,0.22562,1.94743,4.164,2.91897,1.78261,0.0002377,0.0002377,0.0002377
79,241.629,0.8988,0.67085,0.77265,0.98857,0.54925,0.44444,0.40165,0.21341,0.54925,0.44444,0.40496,0.22562,1.94743,4.164,2.91897,1.78261,0.0002278,0.0002278,0.0002278
80,244.679,0.89315,0.68054,0.77255,1.0162,0.54244,0.44444,0.40405,0.21811,0.54244,0.44444,0.40405,0.2162,1.98555,4.08566,2.73185,1.77245,0.0002179,0.0002179,0.0002179
81,247.586,0.76834,0.54146,0.65899,0.90687,0.54244,0.44444,0.40405,0.21811,0.54244,0.44444,0.40405,0.2162,1.98555,4.08566,2.73185,1.77245,0.000208,0.000208,0.000208
82,250.605,0.95743,0.78345,0.72319,1.01542,0.53769,0.44444,0.41365,0.22683,0.53769,0.44444,0.41365,0.24256,1.99775,3.94019,2.5543,1.75525,0.0001981,0.0001981,0.0001981
83,253.207,0.97418,0.81113,0.74802,0.96935,0.53769,0.44444,0.41365,0.22683,0.53769,0.44444,0.41365,0.24256,1.99775,3.94019,2.5543,1.75525,0.0001882,0.0001882,0.0001882
84,256.471,0.8581,0.86854,0.72277,0.94645,0.79122,0.42494,0.49428,0.24305,0.79122,0.42494,0.47246,0.25092,2.02191,3.84952,2.49389,1.74982,0.0001783,0.0001783,0.0001783
85,258.923,0.92284,0.69437,0.78648,0.94769,0.79122,0.42494,0.49428,0.24305,0.79122,0.42494,0.47246,0.25092,2.02191,3.84952,2.49389,1.74982,0.0001684,0.0001684,0.0001684
86,262.41,0.83496,0.73527,0.70123,0.97095,0.79464,0.43254,0.48694,0.24721,0.79464,0.43254,0.46006,0.26144,2.00189,3.79069,2.43723,1.741,0.0001585,0.0001585,0.0001585
87,264.886,0.96214,0.74551,0.76896,0.97308,0.79464,0.43254,0.48694,0.24721,0.79464,0.43254,0.46006,0.26144,2.00189,3.79069,2.43723,1.741,0.0001486,0.0001486,0.0001486
88,268.13,0.90718,0.7007,0.75686,0.95089,0.79149,0.42553,0.47204,0.24691,0.79149,0.42553,0.45875,0.25993,1.96258,3.72976,2.45594,1.74866,0.0001387,0.0001387,0.0001387
89,270.89,0.87169,0.81343,0.68876,1.02936,0.79149,0.42553,0.47204,0.24691,0.79149,0.42553,0.45875,0.25993,1.96258,3.72976,2.45594,1.74866,0.0001288,0.0001288,0.0001288
90,274.013,0.90314,0.69363,0.78666,1.0073,0.5816,0.44444,0.4311,0.21304,0.5816,0.44444,0.42521,0.25103,2.03704,3.71274,2.41223,1.7516,0.0001189,0.0001189,0.0001189
91,302.556,0.77614,0.65253,0.74573,0.98244,0.5816,0.44444,0.4311,0.21304,0.5816,0.44444,0.42521,0.25103,2.03704,3.71274,2.41223,1.7516,0.000109,0.000109,0.000109
92,305.33,0.77661,0.53559,0.73597,0.96644,0.54451,0.44444,0.41593,0.20186,0.54451,0.44444,0.41116,0.2432,2.06956,3.73199,2.44505,1.76529,9.91e-05,9.91e-05,9.91e-05
93,308.304,0.85988,0.74203,0.80162,1.01375,0.54451,0.44444,0.41593,0.20186,0.54451,0.44444,0.41116,0.2432,2.06956,3.73199,2.44505,1.76529,8.92e-05,8.92e-05,8.92e-05
94,311.755,0.83367,0.91922,0.66998,1.00396,0.51596,0.44444,0.4051,0.19068,0.51596,0.44444,0.40284,0.25325,2.07064,3.80707,2.48438,1.76696,7.93e-05,7.93e-05,7.93e-05
95,316.096,0.77621,0.61996,0.67272,0.95082,0.51596,0.44444,0.4051,0.19068,0.51596,0.44444,0.40284,0.25325,2.07064,3.80707,2.48438,1.76696,6.94e-05,6.94e-05,6.94e-05
96,319.104,0.84565,0.65565,0.65121,0.97194,0.54482,0.44444,0.39456,0.19082,0.54482,0.44444,0.40194,0.25023,2.03222,3.84045,2.41891,1.74643,5.95e-05,5.95e-05,5.95e-05
97,322.167,0.80149,0.64472,0.65936,0.96889,0.54482,0.44444,0.39456,0.19082,0.54482,0.44444,0.40194,0.25023,2.03222,3.84045,2.41891,1.74643,4.96e-05,4.96e-05,4.96e-05
98,324.888,0.74721,0.48826,0.6655,0.9691,0.54517,0.44444,0.3586,0.17593,0.54517,0.44444,0.36881,0.2249,2.02068,3.87611,2.38878,1.74109,3.97e-05,3.97e-05,3.97e-05
99,327.955,0.75373,0.63222,0.68258,0.96823,0.54517,0.44444,0.3586,0.17593,0.54517,0.44444,0.36881,0.2249,2.02068,3.87611,2.38878,1.74109,2.98e-05,2.98e-05,2.98e-05
100,330.374,0.76937,0.70993,0.66062,0.94509,0.54681,0.44444,0.39799,0.19295,0.54681,0.44444,0.40967,0.26484,2.02035,3.91888,2.37834,1.744,1.99e-05,1.99e-05,1.99e-05
